endpoint,codigo_padre,descripcion_padre,cantidad_codigos_eliminados,ejemplo_codigos_eliminados
tipologias-detalle_Colombia,22000126402,"PERIMETRAL DE 2 PUESTOS TEK 135 X 75 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127238"
tipologias-detalle_Colombia,22000126403,"PERIMETRAL DE 2 PUESTOS TEK 150 X 75 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127238"
tipologias-detalle_Colombia,22000126404,"PERIMETRAL DE 2 PUESTOS TEK 165 X 75 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",4,"22000104949, 22000127238, 22000127874, 22000127878"
tipologias-detalle_Colombia,22000126405,"PERIMETRAL DE 2 PUESTOS TEK 120 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127238"
tipologias-detalle_Colombia,22000126406,"PERIMETRAL DE 2 PUESTOS TEK 135 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127238"
tipologias-detalle_Colombia,22000126407,"PERIMETRAL DE 2 PUESTOS TEK 150 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127238"
tipologias-detalle_Colombia,22000126408,"PERIMETRAL DE 2 PUESTOS TEK 165 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",4,"22000104949, 22000127238, 22000127874, 22000127878"
tipologias-detalle_Colombia,22000126409,"PERIMETRAL DE 2 PUESTOS TEK 120 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127237"
tipologias-detalle_Colombia,22000126410,"PERIMETRAL DE 2 PUESTOS TEK 135 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127237"
tipologias-detalle_Colombia,22000126411,"PERIMETRAL DE 2 PUESTOS TEK 150 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127237"
tipologias-detalle_Colombia,22000126412,"PERIMETRAL DE 2 PUESTOS TEK 165 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",4,"22000104949, 22000127237, 22000127874, 22000127878"
tipologias-detalle_Colombia,22000126413,"PERIMETRAL DE 2 PUESTOS TEK 120 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127238"
tipologias-detalle_Colombia,22000126414,"PERIMETRAL DE 2 PUESTOS TEK 135 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127238"
tipologias-detalle_Colombia,22000126415,"PERIMETRAL DE 2 PUESTOS TEK 150 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127238"
tipologias-detalle_Colombia,22000126416,"PERIMETRAL DE 2 PUESTOS TEK 165 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",4,"22000104949, 22000127238, 22000127874, 22000127878"
tipologias-detalle_Colombia,22000126437,"PERIMETRAL DE 1 PUESTO TEK 120 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127237, 22000127891"
tipologias-detalle_Colombia,22000126438,"PERIMETRAL DE 1 PUESTO TEK 135 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127237, 22000127892"
tipologias-detalle_Colombia,22000126439,"PERIMETRAL DE 1 PUESTO TEK 150 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127237, 22000127893"
tipologias-detalle_Colombia,22000126440,"PERIMETRAL DE 1 PUESTO TEK 165 X 60 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",4,"22000104949, 22000127237, 22000127874, 22000127894"
tipologias-detalle_Colombia,22000126441,"PERIMETRAL DE 1 PUESTO TEK 120 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127238, 22000127891"
tipologias-detalle_Colombia,22000126442,"PERIMETRAL DE 1 PUESTO TEK 135 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127238, 22000127892"
tipologias-detalle_Colombia,22000126443,"PERIMETRAL DE 1 PUESTO TEK 150 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",3,"22000104949, 22000127238, 22000127893"
tipologias-detalle_Colombia,22000126444,"PERIMETRAL DE 1 PUESTO TEK 165 X 75 X 2,5CM MELAMINA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",4,"22000104949, 22000127238, 22000127874, 22000127894"
tipologias-detalle_Colombia,22000131689,"PERIMETRAL DE 3 PUESTOS TEK 120 X 60 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127237"
tipologias-detalle_Colombia,22000131690,"PERIMETRAL DE 3 PUESTOS TEK 135 X 60 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127237"
tipologias-detalle_Colombia,22000131691,"PERIMETRAL DE 3 PUESTOS TEK 150 X 60 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127237"
tipologias-detalle_Colombia,22000131692,"PERIMETRAL DE 3 PUESTOS TEK 165 X 60 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",5,"22000104949, 22000127237, 22000127874, 22000127878, 22000127886"
tipologias-detalle_Colombia,22000131693,"PERIMETRAL DE 3 PUESTOS TEK 120 X 60 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127237"
tipologias-detalle_Colombia,22000131694,"PERIMETRAL DE 3 PUESTOS TEK 135 X 60 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127237"
tipologias-detalle_Colombia,22000131695,"PERIMETRAL DE 3 PUESTOS TEK 150 X 60 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127237"
tipologias-detalle_Colombia,22000131696,"PERIMETRAL DE 3 PUESTOS TEK 165 X 60 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",5,"22000104949, 22000127237, 22000127874, 22000127878, 22000127886"
tipologias-detalle_Colombia,22000131697,"PERIMETRAL DE 3 PUESTOS TEK 120 X 75 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127238"
tipologias-detalle_Colombia,22000131698,"PERIMETRAL DE 3 PUESTOS TEK 135 X 75 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127238"
tipologias-detalle_Colombia,22000131699,"PERIMETRAL DE 3 PUESTOS TEK 150 X 75 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127238"
tipologias-detalle_Colombia,22000131700,"PERIMETRAL DE 3 PUESTOS TEK 165 X 75 X 2,5CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",5,"22000104949, 22000127238, 22000127874, 22000127878, 22000127886"
tipologias-detalle_Colombia,22000131701,"PERIMETRAL DE 3 PUESTOS TEK 120 X 75 X 3,0CM FORMICA GROMMET ALUMINIO SIN PANTALLA SIN ALMACENAMIENTO",2,"22000104949, 22000127238"
